id,first_name,last_name,position
2,Jaylen,Adams,G
3,Steven,Adams,C
4,Bam,Adebayo,C-F
5,DeVaughn,Akoon-Purcell,G-F
6,LaMarcus,Aldridge,F
7,Rawle,Alkins,G
8,Grayson,Allen,G
9,Jarrett,Allen,C
10,Al-Farouq,Aminu,F
11,Justin,Anderson,G-F
12,Kyle,Anderson,F
13,Ryan,Anderson,F
15,Giannis,Antetokounmpo,F
16,Kostas,Antetokounmpo,F
17,Carmelo,Anthony,F
18,OG,Anunoby,F
19,Ryan,Arcidiacono,G
20,Trevor,Ariza,F
21,D.J.,Augustin,G
22,Deandre,Ayton,C
23,Dwayne,Bacon,G-F
24,Marvin,Bagley III,F
26,Wade,Baldwin IV,G
27,Lonzo,Ball,G
28,Mo,Bamba,C
29,J.J.,Barea,G
30,Harrison,Barnes,F
31,Will,Barton,G
32,Keita,Bates-Diop,F
33,Nicolas,Batum,F-G
34,Jerryd,Bayless,G
35,Aron,Baynes,C-F
36,Kent,Bazemore,G
37,Bradley,Beal,G
38,Malik,Beasley,G
39,Michael,Beasley,F
40,Marco,Belinelli,G-F
41,Jordan,Bell,F
42,DeAndre',Bembry,F
43,Dragan,Bender,F
44,Davis,Bertans,F
45,Patrick,Beverley,G
46,Khem,Birch,C
48,Bismack,Biyombo,C
49,Nemanja,Bjelica,F
50,Antonio,Blakeney,G
51,Eric,Bledsoe,G
52,Trevon,Bluiett,G-F
53,Bogdan,Bogdanovic,G
54,Bojan,Bogdanovic,F
55,Jonah,Bolden,F
56,Isaac,Bonga,G
57,Devin,Booker,G
58,Chris,Boucher,F
59,Avery,Bradley,G
60,Tony,Bradley,C
61,Mikal,Bridges,F
62,Miles,Bridges,F
63,Isaiah,Briscoe,G
64,Ryan,Broekhoff,G-F
65,Malcolm,Brogdon,G
66,Dillon,Brooks,G-F
68,Troy,Brown Jr.,F
69,Bruce,Brown,G
70,Jaylen,Brown,G
72,Sterling,Brown,G
73,Jalen,Brunson,G
74,Thomas,Bryant,C
75,Reggie,Bullock,G-F
76,Trey,Burke,G
77,Alec,Burks,G
78,Deonte,Burton,G
79,Jimmy,Butler,G-F
80,Jose,Calderon,G
81,Kentavious,Caldwell-Pope,G
82,Isaiah,Canaan,G
83,Clint,Capela,C
84,DeMarre,Carroll,F
85,Wendell,Carter Jr.,F
86,Michael,Carter-Williams,G
87,Jevon,Carter,G
88,Vince,Carter,F-G
89,Alex,Caruso,G
91,Willie,Cauley-Stein,C
92,Troy,Caupain,G
93,Tyler,Cavanaugh,F
94,Tyson,Chandler,C
95,Wilson,Chandler,F
96,Joe,Chealey,G
97,Marquese,Chriss,F
98,Gary,Clark,F
99,Ian,Clark,G
100,Jordan,Clarkson,G
101,John,Collins,F-C
102,Zach,Collins,F-C
103,Darren,Collison,G
104,Mike,Conley,G
105,Pat,Connaughton,G
106,Quinn,Cook,G
107,DeMarcus,Cousins,C
108,Robert,Covington,F
109,Allen,Crabbe,G-F
110,Torrey,Craig,F
111,Jamal,Crawford,G
112,Jae,Crowder,F
113,Dante,Cunningham,F
114,Seth,Curry,G
115,Stephen,Curry,G
116,Troy,Daniels,G
117,Anthony,Davis,F-C
118,Ed,Davis,C
120,Dewayne,Dedmon,C
121,Sam,Dekker,F
122,Angel,Delgado,C
123,Matthew,Dellavedova,G
124,Luol,Deng,F
125,DeMar,DeRozan,G
126,Marcus,Derrickson,F
127,Cheick,Diallo,F
128,Hamidou,Diallo,G
129,Gorgui,Dieng,C
130,Spencer,Dinwiddie,G
131,Donte,DiVincenzo,G
132,Luka,Doncic,F-G
133,Tyler,Dorsey,G
134,Damyean,Dotson,G
135,PJ,Dozier,G-F
136,Goran,Dragic,G
137,Andre,Drummond,C
138,Jared,Dudley,F
139,Kris,Dunn,G
140,Kevin,Durant,F
141,Trevon,Duval,G
142,Vincent,Edwards,F
143,Henry,Ellenson,F
144,Wayne,Ellington,G
145,Joel,Embiid,F-C
146,James,Ennis III,F
147,Drew,Eubanks,F
148,Jacob,Evans,G
150,Tyreke,Evans,G
151,Dante,Exum,G
152,Kenneth,Faried,F-C
153,Derrick,Favors,F-C
154,Cristiano,Felicio,F-C
155,Raymond,Felton,G
156,Terrance,Ferguson,G
157,Yogi,Ferrell,G
158,Dorian,Finney-Smith,F
159,Bryn,Forbes,G
160,Evan,Fournier,G-F
161,De'Aaron,Fox,G
162,Melvin,Frazier Jr.,G-F
163,Tim,Frazier,G
164,Channing,Frye,F-C
165,Markelle,Fultz,G
166,Wenyen,Gabriel,F
167,Danilo,Gallinari,F
168,Langston,Galloway,G
169,Marc,Gasol,C
170,Pau,Gasol,C-F
171,Rudy,Gay,F
172,Paul,George,F
173,Taj,Gibson,F
174,Harry,Giles III,F-C
175,Shai,Gilgeous-Alexander,G
176,Rudy,Gobert,C
177,Aaron,Gordon,F
178,Eric,Gordon,G
180,Devonte',Graham,G
181,Treveon,Graham,F
182,Jerami,Grant,F
183,Jerian,Grant,G
184,Danny,Green,G-F
185,Draymond,Green,F
186,Gerald,Green,G-F
187,JaMychal,Green,F
188,Jeff,Green,F
189,Blake,Griffin,F
190,Daniel,Hamilton,G-F
191,Tim,Hardaway Jr.,G
192,James,Harden,G
193,Maurice,Harkless,F
194,Montrezl,Harrell,F-C
195,Devin,Harris,G
196,Gary,Harris,G
197,Joe,Harris,F-G
198,Andrew,Harrison,G
199,Shaquille,Harrison,G
200,Tobias,Harris,F
201,Isaiah,Hartenstein,F-C
202,Josh,Hart,G
203,Udonis,Haslem,F
204,Gordon,Hayward,F
205,John,Henson,F
206,Juancho,Hernangomez,F
207,Willy,Hernangomez,C
208,Mario,Hezonja,F
209,Isaiah,Hicks,F
210,Buddy,Hield,G
211,George,Hill,G
212,Solomon,Hill,F
213,Aaron,Holiday,G
214,Jrue,Holiday,G
215,Justin,Holiday,F-G
216,Rondae,Hollis-Jefferson,F
217,Richaun,Holmes,F-C
218,Rodney,Hood,G
